"","comparison","Orthogroup","Protein_ofav","Protein_ssid","lpv_ssid","lpv_ofav","annot_ofav","annot_ssid","KOG_ofav","KOG_ssid"
"25","Rainbow_Emerald","OG0009836","Ofaveolata015759","Ssiderea033861",-1.32306632204213,3.38367431334676,"inner cell mass cell proliferation","inner cell mass cell proliferation",NA,"Function Unknown"
"26","Rainbow_Emerald","OG0010386","Ofaveolata029869","Ssiderea024099",1.01416200585082,-4.28521493707457,NA,"Domain of unknown function (DUF4487)",NA,"Function Unknown"
"27","Rainbow_Emerald","OG0011098","Ofaveolata025755","Ssiderea055622",1.59901890186109,1.07223910313593,"negative regulation of sequestering of triglyceride","negative regulation of sequestering of triglyceride",NA,"Function Unknown"
"28","Rainbow_Emerald","OG0011820","Ofaveolata028872","Ssiderea014365",-2.0354198253418,1.29960363902919,"ribosomal protein import into nucleus","ribosomal protein import into nucleus","",""
"29","Rainbow_Emerald","OG0011908","Ofaveolata029688","Ssiderea023731",1.08713707817441,-2.42305235842915,NA,"glomerular parietal epithelial cell differentiation",NA,"Posttranslational modification, protein turnover, chaperones"
"30","Rainbow_Emerald","OG0012362","Ofaveolata022425","Ssiderea023521",1.25681516017298,-3.06753559413404,"FAD binding domain of DNA photolyase","negative regulation of glucocorticoid receptor signaling pathway","Transcription",""
"31","Rainbow_Emerald","OG0012803","Ofaveolata014988","Ssiderea051219",1.00479138460138,1.2376823491942,"Transformation transcription domain-associated","Transformation transcription domain-associated protein","",""
"32","Star_Emerald","OG0000297","Ofaveolata029192","Ssiderea027774",-6.1094160035009,2.31983409022462,"MAC/Perforin domain","MAC/Perforin domain",NA,"Function Unknown"
"33","Star_Emerald","OG0000430","Ofaveolata016514","Ssiderea034936",1.97102657851771,-2.13401267027183,NA,"Cell adhesion molecule",NA,"Signal transduction mechanisms"
"34","Star_Emerald","OG0000473","Ofaveolata030379","Ssiderea034234",-3.17799031702855,-2.9383088123684,"negative regulation of non-canonical Wnt signaling pathway","negative regulation of non-canonical Wnt signaling pathway","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones"
"35","Star_Emerald","OG0000477","Ofaveolata009785","Ssiderea017874",-1.14135834992339,3.17796796834246,"NADP-retinol dehydrogenase activity","retinol dehydrogenase","Secondary metabolites biosynthesis, transport and catabolism","Secondary metabolites biosynthesis, transport and catabolism"
"36","Star_Emerald","OG0000696","Ofaveolata011199","Ssiderea051589",-3.6933828578705,1.86609827476611,"acyl-CoA synthetase medium-chain family member 4","PFAM AMP-dependent synthetase and ligase","Lipid transport and metabolism","Lipid transport and metabolism"
"37","Star_Emerald","OG0000962","Ofaveolata015339","Ssiderea057455",-2.22133562219947,3.45165692476759,"selenoprotein","Uncharacterized ACR, YdiU/UPF0061 family",NA,"Posttranslational modification, protein turnover, chaperones"
"38","Star_Emerald","OG0001139","Ofaveolata006385","Ssiderea60593",-1.33359066460166,1.81792998360221,NA,"thyroid hormone transmembrane transporter activity",NA,"Carbohydrate transport and metabolism"
"39","Star_Emerald","OG0001628","Ofaveolata030493","Ssiderea037801",-1.1971127423756,-1.29592341024983,"Formyl transferase, C-terminal domain","Enoyl-CoA hydratase","Nucleotide transport and metabolism","Lipid transport and metabolism"
"40","Star_Emerald","OG0001930","Ofaveolata005637","Ssiderea013259",5.63133336361868,2.88852030892591,"acyl-L-homoserine-lactone lactonohydrolase activity","arylesterase activity",NA,"Function Unknown"
"41","Star_Emerald","OG0002144","Ofaveolata000890","Ssiderea022553",-1.55433271676344,-1.64744274124454,"NFX1-type zinc finger-containing protein","NFX1-type zinc finger-containing protein","Replication, recombination and repair","Replication, recombination and repair"
"42","Star_Emerald","OG0002272","Ofaveolata017458","Ssiderea041651",1.82284415322577,-2.87354556008085,NA,"PFAM SMP-30 Gluconolaconase",NA,"Secondary metabolites biosynthesis, transport and catabolism"
"43","Star_Emerald","OG0002522","Ofaveolata018861","Ssiderea003111",1.19693535104289,-1.35124211555187,"thioesterase binding","thioesterase binding","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones"
"44","Star_Emerald","OG0003070","Ofaveolata011218","Ssiderea050623",1.56103719986105,1.20416597089656,NA,"Nucleus accumbens associated 1, BEN and BTB (POZ) domain containing",NA,"Function Unknown"
"45","Star_Emerald","OG0003096","Ofaveolata035075","Ssiderea047289",-2.91373636530416,-1.97220367268779,NA,"Glycosyl transferases group 1",NA,"Cell wall/membrane/envelope biogenesis"
"46","Star_Emerald","OG0003952","Ofaveolata030284","Ssiderea027544",-3.19594082914515,-2.30014096722036,"regulation of transcription by RNA polymerase II","regulation of transcription by RNA polymerase II","Transcription","Transcription"
"47","Star_Emerald","OG0004969","Ofaveolata035960","Ssiderea047263",-1.9180994940354,-1.03456593212694,"thiol-dependent ubiquitin-specific protease activity","Glycosyl transferases group 1","Carbohydrate transport and metabolism",""
"48","Star_Emerald","OG0005229","Ofaveolata000853","Ssiderea022618",-1.05815668633845,1.00131123062254,"Catalytic subunit of the poly(A)-nuclease (PAN) deadenylation complex, one of two cytoplasmic mRNA deadenylases involved in general and miRNA-mediated mRNA turnover. PAN specifically shortens poly(A) tails of RNA and the activity is stimulated by poly(A)-binding protein (PABP). PAN deadenylation is followed by rapid degradation of the shortened mRNA tails by the CCR4-NOT complex. Deadenylated mRNAs are then degraded by two alternative mechanisms, namely exosome-mediated 3'-5' exonucleolytic degradation, or deadenlyation-dependent mRNA decaping and subsequent 5'-3' exonucleolytic degradation by XRN1","Catalytic subunit of the poly(A)-nuclease (PAN) deadenylation complex, one of two cytoplasmic mRNA deadenylases involved in general and miRNA-mediated mRNA turnover. PAN specifically shortens poly(A) tails of RNA and the activity is stimulated by poly(A)-binding protein (PABP). PAN deadenylation is followed by rapid degradation of the shortened mRNA tails by the CCR4-NOT complex. Deadenylated mRNAs are then degraded by two alternative mechanisms, namely exosome-mediated 3'-5' exonucleolytic degradation, or deadenlyation-dependent mRNA decaping and subsequent 5'-3' exonucleolytic degradation by XRN1","Replication, recombination and repair","Replication, recombination and repair"
"49","Star_Emerald","OG0006176","Ofaveolata014336","Ssiderea003822",1.78800142866869,1.09611231944736,"rRNA binding","rRNA binding",NA,"Function Unknown"
"50","Star_Emerald","OG0006415","Ofaveolata014966","Ssiderea038351",-1.83160152431081,1.39883630763964,"succinate-hydroxymethylglutarate CoA-transferase activity","succinate-hydroxymethylglutarate CoA-transferase activity","Lipid transport and metabolism","Lipid transport and metabolism"
"51","Star_Emerald","OG0006625","Ofaveolata030750","Ssiderea013833",2.30305917020803,1.17378923839159,"Ring finger and WD repeat domain 2","Ring finger and WD repeat domain 2",NA,"Function Unknown"
"52","Star_Emerald","OG0007060","Ofaveolata031923","Ssiderea007355",-2.2450833662382,-1.56467167258272,"metanephric glomerular basement membrane development","metanephric glomerular basement membrane development","Extracellular structures","Extracellular structures"
"53","Star_Emerald","OG0007401","Ofaveolata021227","Ssiderea052204",-1.49635999845949,1.34013836224005,"metalloendopeptidase activity","metalloendopeptidase activity","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones"
"54","Star_Emerald","OG0007839","Ofaveolata012730","Ssiderea001302",2.48233590043789,-1.42122792267832,"microtubule plus-end binding","microtubule plus-end binding","Cytoskeleton","Cytoskeleton"
"55","Star_Emerald","OG0007991","Ofaveolata015836","Ssiderea033795",-1.17196086897467,1.70104576237642,"transmembrane transport","transmembrane transport",NA,"Function Unknown"
"56","Star_Emerald","OG0008422","Ofaveolata018929","Ssiderea001959",-1.28754756687029,-1.25603528179788,"-","-","",""
"57","Star_Emerald","OG0009682","Ofaveolata026368","Ssiderea038740",-2.56565943933537,1.7705498941875,"Metastasis suppressor protein 1-like","Metastasis suppressor protein 1-like",NA,"Function Unknown"
"58","Star_Emerald","OG0009902","Ofaveolata030333","Ssiderea027649",-1.1318428655446,1.9612233581571,"WD domain, G-beta repeat","WD domain, G-beta repeat","Signal transduction mechanisms","Signal transduction mechanisms"
"59","Star_Emerald","OG0010173","Ofaveolata026870","Ssiderea017831",4.93627438768388,1.35025878475315,"propanoyl-CoA C-acyltransferase activity","propanoyl-CoA C-acyltransferase activity","Lipid transport and metabolism","Lipid transport and metabolism"
"60","Star_Emerald","OG0010221","Ofaveolata023174","Ssiderea014617",1.25197942201639,3.39243308614215,"fucose metabolic process","fucose metabolic process","Carbohydrate transport and metabolism","Carbohydrate transport and metabolism"
"61","Star_Emerald","OG0010689","Ofaveolata027830","Ssiderea035432",1.27090156399057,-1.06105065320485,"nuclear localization sequence binding","nuclear localization sequence binding","",""
"62","Star_Emerald","OG0010929","Ofaveolata017642","Ssiderea046885",1.06541906546477,1.5279137260074,"mRNA-containing ribonucleoprotein complex export from nucleus","mRNA-containing ribonucleoprotein complex export from nucleus","RNA processing and modification","RNA processing and modification"
"63","Star_Emerald","OG0011861","Ofaveolata031462","Ssiderea048776",-1.66738201945026,1.69950327677334,"Solute carrier family 35 (UDP-galactose transporter), member A2","pyrimidine nucleotide-sugar transmembrane transporter activity","Carbohydrate transport and metabolism","Carbohydrate transport and metabolism"
"64","Star_Emerald","OG0012612","Ofaveolata025365","Ssiderea042040",2.50455114388353,1.24226618296039,NA,"Domain of unknown function (DUF4618)",NA,"Function Unknown"
"65","Star_Emerald","OG0012729","Ofaveolata031793","Ssiderea006757",1.05808763859276,1.69116827984363,"Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family","Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family","Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport"
"66","Star_Emerald","OG0012875","Ofaveolata032272","Ssiderea006919",2.84893888714529,1.86800807327916,"Threonine synthase N terminus","Threonine synthase N terminus","Amino acid transport and metabolism","Amino acid transport and metabolism"
"67","MacN_Emerald","OG0000237","Ofaveolata027123","Ssiderea025805",-1.11971463768171,1.06675914982645,"Receptor-type tyrosine-protein phosphatase","Receptor-type tyrosine-protein phosphatase","Signal transduction mechanisms","Signal transduction mechanisms"
"68","MacN_Emerald","OG0000287","Ofaveolata003751","Ssiderea012958",1.84395067577908,-4.73154770144344,"Tachylectin","Tachylectin",NA,"Function Unknown"
"69","MacN_Emerald","OG0000288","Ofaveolata014826","Ssiderea60736",-1.11546257944564,-4.59989941677139,"DNA topoisomerase type I activity","DNA topoisomerase type I activity","Replication, recombination and repair","Replication, recombination and repair"
"70","MacN_Emerald","OG0000290","Ofaveolata010939","Ssiderea019959",1.34008493258589,-2.6854363375845,"GTPase activity","GTPase activity",NA,"Function Unknown"
"71","MacN_Emerald","OG0000297","Ofaveolata029192","Ssiderea027774",-2.69570216586758,4.30259785382713,"MAC/Perforin domain","MAC/Perforin domain",NA,"Function Unknown"
"72","MacN_Emerald","OG0000415","Ofaveolata027945","Ssiderea025137",-1.02521666487442,-1.43664738835751,"osmolarity-sensing cation channel activity","Transient receptor potential cation channel, subfamily A, member","","Function Unknown"
"73","MacN_Emerald","OG0000453","Ofaveolata015496","Ssiderea056037",-1.20696184866304,-2.96966521460951,NA,NA,NA,NA
"74","MacN_Emerald","OG0000462","Ofaveolata005644","Ssiderea010508",-1.09818704237869,1.85358957365556,NA,"structural constituent of cuticle",NA,"Cell cycle control, cell division, chromosome partitioning"
"75","MacN_Emerald","OG0000473","Ofaveolata030379","Ssiderea034234",-2.26908833914726,-2.83112620647413,"negative regulation of non-canonical Wnt signaling pathway","negative regulation of non-canonical Wnt signaling pathway","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones"
"76","MacN_Emerald","OG0000477","Ofaveolata009785","Ssiderea017874",-1.01312750794149,5.43594404901947,"NADP-retinol dehydrogenase activity","retinol dehydrogenase","Secondary metabolites biosynthesis, transport and catabolism","Secondary metabolites biosynthesis, transport and catabolism"
"77","MacN_Emerald","OG0000534","Ofaveolata032090","Ssiderea048704",-1.62607070284047,-1.98704749073161,"Heat shock 70 kDa protein 12A-like","Heat shock 70 kDa protein 12A-like","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones"
"78","MacN_Emerald","OG0000592","Ofaveolata014308","Ssiderea003590",1.21450209640785,-1.45485136045858,"Placenta-specific gene 8 protein-like","Placenta-specific gene 8 protein-like",NA,"Function Unknown"
"79","MacN_Emerald","OG0000633","Ofaveolata019961","Ssiderea057815",2.67118431504935,-1.17897243609681,"ATP-binding cassette, subfamily B (MDR TAP), member","ATP-binding cassette, subfamily B (MDR TAP), member","Secondary metabolites biosynthesis, transport and catabolism","Secondary metabolites biosynthesis, transport and catabolism"
"80","MacN_Emerald","OG0000636","Ofaveolata005640","Ssiderea010446",-2.22860758806447,1.89495508169623,NA,"coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway",NA,"Intracellular trafficking, secretion, and vesicular transport"
"81","MacN_Emerald","OG0000713","Ofaveolata021402","Ssiderea020017",1.55662858844187,11.0897162407923,"urate homeostasis","transcript (3","Signal transduction mechanisms","Signal transduction mechanisms"
"82","MacN_Emerald","OG0000817","Ofaveolata010854","Ssiderea043373",-1.32882442693381,-5.62652822027654,"Galactose binding lectin domain","Galactose binding lectin domain","Posttranslational modification, protein turnover, chaperones","Function Unknown"
"83","MacN_Emerald","OG0001035","Ofaveolata013447","Ssiderea000550",-1.78354605763152,2.49834489802529,"ammonium transmembrane transporter activity","ammonium transmembrane transporter activity","Inorganic ion transport and metabolism","Inorganic ion transport and metabolism"
"84","MacN_Emerald","OG0001060","Ofaveolata021998","Ssiderea023406",1.76986926562786,-1.5295528663325,"tumor necrosis factor-activated receptor activity","Tumor necrosis factor receptor / nerve growth factor receptor repeats.","Signal transduction mechanisms","Function Unknown"
"85","MacN_Emerald","OG0001135","Ofaveolata029868","Ssiderea024098",-3.25749225952123,-1.66154365269856,"SCP / Tpx-1 / Ag5 / PR-1 / Sc7 family of extracellular domains.","positive regulation of epithelial to mesenchymal transition",NA,"Function Unknown"
"86","MacN_Emerald","OG0001170","Ofaveolata031182","Ssiderea026681",3.43479772062539,1.71701873517384,"carbohydrate binding","C-type lectin (CTL) or carbohydrate-recognition domain (CRD)",NA,""
"87","MacN_Emerald","OG0001499","Ofaveolata028713","Ssiderea042784",-2.31633105958316,-1.2411526068663,"Lamin Tail Domain","structural molecule activity","",""
"88","MacN_Emerald","OG0001524","Ofaveolata029080","Ssiderea002801",-1.20813812099183,1.01034076500037,NA,"Tetratricopeptide repeat",NA,"Posttranslational modification, protein turnover, chaperones"
"89","MacN_Emerald","OG0001562","Ofaveolata015523","Ssiderea056865",1.32504917322599,-3.19615725709103,NA,"GTPase activity",NA,"Function Unknown"
"90","MacN_Emerald","OG0001593","Ofaveolata014508","Ssiderea046106",3.47701308253445,-1.19056579852984,NA,"Death effector domain",NA,"Function Unknown"
"91","MacN_Emerald","OG0001629","Ofaveolata005498","Ssiderea010414",-1.18064187400286,-3.2568617783145,"AMP catabolic process","AMP catabolic process","Nucleotide transport and metabolism","Nucleotide transport and metabolism"
"92","MacN_Emerald","OG0001687","Ofaveolata025322","Ssiderea041999",1.55110168507439,1.93128799452432,"MAP kinase phosphatase activity","MAP kinase phosphatase activity","Defense mechanisms","Defense mechanisms"
"93","MacN_Emerald","OG0001704","Ofaveolata030052","Ssiderea047439",-2.40574998328521,-2.23314272580018,"Belongs to the CD36 family","Belongs to the CD36 family","Signal transduction mechanisms","Signal transduction mechanisms"
"94","MacN_Emerald","OG0001758","Ofaveolata026913","Ssiderea017924",-1.39395553995979,2.17669237676039,NA,"lipoprotein receptor-related protein 2",NA,"Signal transduction mechanisms"
"95","MacN_Emerald","OG0001824","Ofaveolata011784","Ssiderea003649",-1.84495779064912,-1.15629243153974,NA,"four-way junction helicase activity",NA,"Replication, recombination and repair"
"96","MacN_Emerald","OG0001872","Ofaveolata029158","Ssiderea058945",-1.19719153465703,2.54754895768778,"G-protein coupled receptor activity","G-protein coupled receptor activity","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones"
"97","MacN_Emerald","OG0001882","Ofaveolata009900","Ssiderea054746",-1.07705856622978,1.18917799843419,"UDP-Gal betaGlcNAc beta 1,4- galactosyltransferase, polypeptide","UDP-Gal betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 4","Carbohydrate transport and metabolism","Carbohydrate transport and metabolism"
"98","MacN_Emerald","OG0001916","Ofaveolata034914","Ssiderea62027",-1.46903550094309,-3.17675240262077,"K02A2.6-like","K02A2.6-like","Carbohydrate transport and metabolism","Carbohydrate transport and metabolism"
"99","MacN_Emerald","OG0001930","Ofaveolata005637","Ssiderea013259",2.71909295500695,6.04244704568936,"acyl-L-homoserine-lactone lactonohydrolase activity","arylesterase activity",NA,"Function Unknown"
"100","MacN_Emerald","OG0002094","Ofaveolata004443","Ssiderea053074",-1.2556753589975,-1.35015203840683,"pyridoxal 5'-phosphate salvage","Pyridoxal (Pyridoxine, vitamin B6) kinase","Coenzyme transport and metabolism","Coenzyme transport and metabolism"
"101","MacN_Emerald","OG0002112","Ofaveolata002550","Ssiderea013071",-1.01455327633608,-1.58143038550227,"diphosphoinositol-pentakisphosphate kinase activity","diphosphoinositol-pentakisphosphate kinase activity","",""
"102","MacN_Emerald","OG0002119","Ofaveolata014701","Ssiderea004568",-3.19161257518371,4.23111754491791,"temperature-gated cation channel activity","Transient receptor potential cation channel, subfamily A, member","Cytoskeleton","Function Unknown"
"103","MacN_Emerald","OG0002165","Ofaveolata005122","Ssiderea010612",-1.03938064350447,1.61929791370047,NA,"sterile alpha motif",NA,"Function Unknown"
"104","MacN_Emerald","OG0002169","Ofaveolata007407","Ssiderea044665",1.09388790156898,-2.19840364424332,NA,"phosphatidylserine exposure on apoptotic cell surface",NA,"Function Unknown"
"105","MacN_Emerald","OG0002175","Ofaveolata003889","Ssiderea030331",1.74913787639864,-1.10256169545684,"DNA-directed 5'-3' RNA polymerase activity","G-protein coupled receptor activity","Transcription","Posttranslational modification, protein turnover, chaperones"
"106","MacN_Emerald","OG0002187","Ofaveolata035049","Ssiderea038673",1.57583418904895,4.05447490944065,"Mindbomb E3 ubiquitin protein ligase 2","Regulator of chromosome condensation (RCC1) repeat","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones"
"107","MacN_Emerald","OG0002234","Ofaveolata018827","Ssiderea003038",-2.10401941353687,-3.47812817196465,NA,"Ribonuclease P",NA,""
"108","MacN_Emerald","OG0002272","Ofaveolata017458","Ssiderea041651",1.1929622063679,-1.35883825508323,NA,"PFAM SMP-30 Gluconolaconase",NA,"Secondary metabolites biosynthesis, transport and catabolism"
"109","MacN_Emerald","OG0002275","Ofaveolata024347","Ssiderea005820",-1.10521813589607,2.13783432643322,"e3 ubiquitin-protein ligase","e3 ubiquitin-protein ligase","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones"
"110","MacN_Emerald","OG0002308","Ofaveolata005310","Ssiderea015840",-1.00003158664507,-4.86440392972236,"E3 ubiquitin-protein ligase parkin","E3 ubiquitin-protein ligase parkin","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones"
"111","MacN_Emerald","OG0002387","Ofaveolata030627","Ssiderea054386",1.18151417234915,1.7803199257366,"Poly(ADP-ribose) polymerase catalytic domain","Poly (ADP-ribose) polymerase",NA,"Function Unknown"
"112","MacN_Emerald","OG0002478","Ofaveolata033066","Ssiderea026130",3.16878517205682,-2.93603578927181,"HD domain","HD domain",NA,"Function Unknown"
"113","MacN_Emerald","OG0002508","Ofaveolata001082","Ssiderea022230",1.24151241264299,1.85230363853246,"histone pre-mRNA stem-loop binding","histone pre-mRNA stem-loop binding","Replication, recombination and repair","Replication, recombination and repair"
"114","MacN_Emerald","OG0002615","Ofaveolata019617","Ssiderea005809",1.74772248222105,1.15659836545945,"tripeptidyl-peptidase activity","tripeptidyl-peptidase activity","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones"
"115","MacN_Emerald","OG0002804","Ofaveolata010953","Ssiderea057082",3.47449441629965,-1.90960405963638,"GTPase activity","GTPase activity",NA,"Function Unknown"
"116","MacN_Emerald","OG0002863","Ofaveolata024078","Ssiderea005462",1.4125933319277,-3.21954809071528,"RNA-directed 5'-3' RNA polymerase activity","AAA domain","Translation, ribosomal structure and biogenesis","Replication, recombination and repair"
"117","MacN_Emerald","OG0002906","Ofaveolata006587","Ssiderea028132",1.18491628890637,-2.84108123178844,"Acid sphingomyelinase-like phosphodiesterase 3b","Acid sphingomyelinase-like phosphodiesterase 3b","Lipid transport and metabolism","Lipid transport and metabolism"
"118","MacN_Emerald","OG0003006","Ofaveolata029112","Ssiderea042600",3.41572482759107,1.75191512575929,NA,"mannose binding",NA,"Signal transduction mechanisms"
"119","MacN_Emerald","OG0003060","Ofaveolata032100","Ssiderea048701",-2.50164205667767,-2.56382871857545,"Heat shock 70 kDa protein 12A-like","Heat shock 70 kDa protein 12A-like","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones"
"120","MacN_Emerald","OG0003092","Ofaveolata032692","Ssiderea031958",1.31894891675639,-2.13625031141636,"metanephric macula densa development","POU domain, class 3, transcription factor","Transcription","Transcription"
"121","MacN_Emerald","OG0003125","Ofaveolata001436","Ssiderea026474",1.0333216877199,-2.61593015333086,"bile acid:sodium symporter activity","Hermansky-Pudlak Syndrome 1","Translation, ribosomal structure and biogenesis","Function Unknown"
"122","MacN_Emerald","OG0003157","Ofaveolata031730","Ssiderea007531",-2.00566309897658,3.66944710854419,"hydroxyacid-oxoacid transhydrogenase activity","hydroxyacid-oxoacid transhydrogenase activity","Energy production and conversion","Energy production and conversion"
"123","MacN_Emerald","OG0003171","Ofaveolata005754","Ssiderea047803",1.12979316335123,-3.05422968803681,NA,"Glycosyl transferases group 1",NA,""
"124","MacN_Emerald","OG0003253","Ofaveolata036247","Ssiderea038083",4.27096962061454,2.99181413782465,"Amidohydrolase family","Amidohydrolase family","Nucleotide transport and metabolism","Nucleotide transport and metabolism"
"125","MacN_Emerald","OG0003273","Ofaveolata035324","Ssiderea006470",-1.42689336882628,-5.21032958717384,"Mov10 RISC complex RNA helicase like 1","Mov10 RISC complex RNA helicase like 1","Replication, recombination and repair","Replication, recombination and repair"
