"","comparison","Orthogroup","Protein_ofav","Protein_ssid","lpv_ssid","lpv_ofav","annot_ofav","annot_ssid","KOG_ofav","KOG_ssid","rel_class","abs_ofav","abs_ssid","delta_log10p","p_ofav","p_ssid","p_ratio","filter_type","relationship_category","discord_direction","delta_cut_used","high_cut_used","low_cut_used","ratio_cut_used","treatment"
"Bleaching.5","CH_CC","OG0002827","Ofaveolata005263","Ssiderea015872",2.29576406988009,-6.72663369539301,"negative chemotaxis","structural constituent of cuticle",NA,"Cell cycle control, cell division, chromosome partitioning","Inverse",6.72663369539301,2.29576406988009,4.43086962551292,1.87657663467601e-07,0.00506099525487422,26969.2969706403,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.6","CH_CC","OG0002933","Ofaveolata004714","Ssiderea042375",2.60374950774424,-1.05598859869178,"Disintegrin and metalloproteinase domain-containing protein","metalloendopeptidase activity","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones","Inverse",1.05598859869178,2.60374950774424,1.54776090905246,0.0879045593656901,0.00249029325481419,35.2988786343756,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.7","CH_CC","OG0003692","Ofaveolata002357","Ssiderea012861",1.14668033288513,-3.6252752226722,"acidic dipeptidase","acidic dipeptidase","","","Inverse",3.6252752226722,1.14668033288513,2.47859488978707,0.000236987138620511,0.0713377926404766,301.019680037195,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.8","CH_CC","OG0005250","Ofaveolata029294","Ssiderea033145",-1.69686530234982,7.85730709800244,"Belongs to the oxygen-dependent FAD-linked oxidoreductase family","PFAM FAD linked oxidase domain protein","Energy production and conversion","Energy production and conversion","Inverse",7.85730709800244,1.69686530234982,6.16044179565262,1.3889701163246e-08,0.0200971603501485,1446910.92442855,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.9","CH_CC","OG0005483","Ofaveolata004231","Ssiderea036455",2.07425116796353,-5.90399513066477,NA,NA,NA,NA,"Inverse",5.90399513066477,2.07425116796353,3.82974396270124,1.24739750005855e-06,0.00842847168252617,6756.84509719682,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.10","CH_CC","OG0005579","Ofaveolata029931","Ssiderea024198",-1.80786649178062,1.23554711289368,"metal ion binding","metal ion binding","Transcription","Transcription","Inverse",1.23554711289368,1.80786649178062,0.57231937888694,0.0581370360989661,0.015564440308089,3.73524745819171,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.11","CH_CC","OG0005900","Ofaveolata023634","Ssiderea050025",-1.94392258861708,1.28209283806745,"nonsense mediated mRNA decay factor","SMG6 nonsense mediated mRNA decay factor","RNA processing and modification","RNA processing and modification","Inverse",1.28209283806745,1.94392258861708,0.66182975054963,0.0522284529580583,0.0113783008174702,4.5901803613653,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.12","CH_CC","OG0005958","Ofaveolata033491","Ssiderea058235",-1.08336653311949,1.86766347975143,"phosphatase, non-receptor type","phosphatase, non-receptor type","Signal transduction mechanisms","Signal transduction mechanisms","Inverse",1.86766347975143,1.08336653311949,0.78429694663194,0.0135623991018369,0.0825341089382192,6.0855095266324,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.13","CH_CC","OG0005974","Ofaveolata027445","Ssiderea035532",2.68929706656794,-1.19658045323465,"glutamine biosynthetic process","glutamine biosynthetic process","Amino acid transport and metabolism","Amino acid transport and metabolism","Inverse",1.19658045323465,2.68929706656794,1.49271661333329,0.0635944984849726,0.00204504530415455,31.0968653632168,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.14","CH_CC","OG0006010","Ofaveolata030528","Ssiderea037729",2.76278412106762,-3.6749080603235,"quinone binding","quinone binding","Energy production and conversion","Energy production and conversion","Inverse",3.6749080603235,2.76278412106762,0.91212393925588,0.000211393651056478,0.00172669598407159,8.16815441448747,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.15","CH_CC","OG0006119","Ofaveolata027201","Ssiderea035234",-1.40721058136003,2.29599637085655,"Belongs to the ammonium transporter (TC 2.A.49) family. Rh subfamily","Belongs to the ammonium transporter (TC 2.A.49) family. Rh subfamily","Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport","Inverse",2.29599637085655,1.40721058136003,0.88878578949652,0.00505828888899852,0.0391551974762403,7.74079898073843,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.16","CH_CC","OG0006224","Ofaveolata024652","Ssiderea017214",1.21745520166079,-1.28245890960159,"iron-sulfur cluster assembly","iron-sulfur cluster assembly",NA,"Function Unknown","Inverse",1.28245890960159,1.21745520166079,0.0650037079407999,0.0521844475769029,0.0606100717796623,1.16145853015581,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.17","CH_CC","OG0006285","Ofaveolata027055","Ssiderea042128",1.51016008938342,-1.51435415830404,"Myosin, light","Myosin, light","Cytoskeleton","Cytoskeleton","Inverse",1.51435415830404,1.51016008938342,0.00419406892062013,0.0305946748271519,0.0308915649950881,1.00970398180773,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.18","CH_CC","OG0006321","Ofaveolata010194","Ssiderea054850",12.3626032359784,-3.2007500724123,"Marginal zone B and","Marginal zone B and",NA,"Function Unknown","Inverse",3.2007500724123,12.3626032359784,9.1618531635661,0.000629868555043217,4.33907107488851e-13,1451620736.72509,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.19","CH_CC","OG0006565","Ofaveolata028768","Ssiderea027808",8.62137776474426,-1.04183443572143,"PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides","PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones","Inverse",1.04183443572143,8.62137776474426,7.57954332902283,0.0908166680798749,2.39123487061778e-09,37978982.8242226,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.20","CH_CC","OG0007308","Ofaveolata029875","Ssiderea024105",-1.49648173660215,1.92309280128247,"spectrin binding","spectrin binding","Lipid transport and metabolism","Lipid transport and metabolism","Inverse",1.92309280128247,1.49648173660215,0.42661106468032,0.0119373299694071,0.031879996379139,2.67061365153185,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.21","CH_CC","OG0007322","Ofaveolata032657","Ssiderea052005",2.81191840622025,-1.92998516483198,"GTP-specific succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit","GTP-specific succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit","Energy production and conversion","Energy production and conversion","Inverse",1.92998516483198,2.81191840622025,0.88193324138827,0.0117493768922872,0.00154199012963204,7.61961874236572,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.22","CH_CC","OG0007457","Ofaveolata007621","Ssiderea044343",1.85429749947105,-1.04609612455293,"mesenchymal-epithelial cell signaling involved in prostate gland development","Fibrinogen beta and gamma chains, C-terminal globular domain","Signal transduction mechanisms","Function Unknown","Inverse",1.04609612455293,1.85429749947105,0.80820137491812,0.0899298513297618,0.0139862890858075,6.42985789711854,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.23","CH_CC","OG0007546","Ofaveolata010169","Ssiderea055795",3.17828561770497,-1.92420251958787,"dolichyl-phosphate-mannose-protein mannosyltransferase activity","dolichyl-phosphate-mannose-protein mannosyltransferase activity","Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport","Inverse",1.92420251958787,3.17828561770497,1.2540830981171,0.0119068663924037,0.000663306697259775,17.9507706489212,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.24","CH_CC","OG0007627","Ofaveolata011375","Ssiderea019309",4.33501147923129,-1.27292806899148,"Universal stress protein family","Universal stress protein family","Signal transduction mechanisms","Signal transduction mechanisms","Inverse",1.27292806899148,4.33501147923129,3.06208341023981,0.0533423237604989,4.62368799948694e-05,1153.67481037687,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.25","CH_CC","OG0007926","Ofaveolata024312","Ssiderea006291",-1.38818539854279,1.51513123368579,"histone acetyltransferase activity","histone acetyltransferase activity","Chromatin structure and dynamics","Chromatin structure and dynamics","Inverse",1.51513123368579,1.38818539854279,0.126945835143,0.0305399812660695,0.0409085985310342,1.33950961445037,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.26","CH_CC","OG0008404","Ofaveolata002477","Ssiderea025047",1.44904980955287,-7.42026977758375,"Belongs to the peptidase S1 family","serine-type endopeptidase activity","Posttranslational modification, protein turnover, chaperones","Amino acid transport and metabolism","Inverse",7.42026977758375,1.44904980955287,5.97121996803088,3.79953301387004e-08,0.0355590533290943,935879.572549768,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.27","CH_CC","OG0009551","Ofaveolata026600","Ssiderea035170",-2.55822701056862,1.73649380941079,"2 iron, 2 sulfur cluster binding","2Fe-2S iron-sulfur cluster binding domain","Energy production and conversion","Energy production and conversion","Inverse",1.73649380941079,2.55822701056862,0.82173320115783,0.0183445131585794,0.00276549571209424,6.63335440310179,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.28","CH_CC","OG0009704","Ofaveolata014858","Ssiderea004499",1.35703094848029,-1.02897416377692,"Dermatopontin","Dermatopontin",NA,"Function Unknown","Inverse",1.02897416377692,1.35703094848029,0.32805678470337,0.09354613231819,0.0439510294154893,2.12841732178456,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.29","CH_CC","OG0009746","Ofaveolata026963","Ssiderea017960",-1.03862554527781,2.98053009990588,"glutaryl-CoA dehydrogenase","glutaryl-CoA dehydrogenase","Amino acid transport and metabolism","Amino acid transport and metabolism","Inverse",2.98053009990588,1.03862554527781,1.94190455462807,0.00104585120252008,0.091490174245725,87.4791500217914,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.30","CH_CC","OG0009765","Ofaveolata008051","Ssiderea009584",-1.1045261014346,2.52210435895373,"TAF6-like RNA polymerase II, p300 CBP-associated","TAF6-like RNA polymerase II, p300 CBP-associated","Transcription","Transcription","Inverse",2.52210435895373,1.1045261014346,1.41757825751913,0.00300535404318857,0.078609294493378,26.1564173018285,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.31","CH_CC","OG0010456","Ofaveolata003649","Ssiderea046465",1.04279827550912,-1.77035970634629,"Belongs to the peptidase M10A family","Belongs to the peptidase M10A family","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones","Inverse",1.77035970634629,1.04279827550912,0.72756143083717,0.0169683765690548,0.090615340036699,5.34024805896601,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.32","CH_CC","OG0010853","Ofaveolata022539","Ssiderea015358",-2.24042865212064,1.13869215409537,"DGCR8 microprocessor complex subunit","primary miRNA processing",NA,"","Inverse",1.13869215409537,2.24042865212064,1.10173649802527,0.0726620833853293,0.00574872253725445,12.6396921949954,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.33","CH_CC","OG0010896","Ofaveolata023169","Ssiderea046213",2.16573044678179,-1.4711063809484,"sphingolipid transporter activity","sphingolipid transporter activity","Carbohydrate transport and metabolism","Carbohydrate transport and metabolism","Inverse",1.4711063809484,2.16573044678179,0.69462406583339,0.033798203696472,0.00682762332224075,4.95021504575033,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.34","CH_CC","OG0011056","Ofaveolata033693","Ssiderea053631",-6.78707259633577,2.95646750370789,NA,"cytoskeletal anchoring at nuclear membrane",NA,"Cytoskeleton","Inverse",2.95646750370789,6.78707259633577,3.83060509262788,0.00110543318085426,1.63277899098521e-07,6770.25602949024,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.35","CH_CC","OG0011134","Ofaveolata010552","Ssiderea045367",2.08865061252293,-1.18223218913453,"Domain first found in C1r, C1s, uEGF, and bone morphogenetic protein.","zymogen binding",NA,"Extracellular structures","Inverse",1.18223218913453,2.08865061252293,0.9064184233884,0.0657306324273771,0.00815359972765638,8.0615476136784,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.36","CH_CC","OG0011192","Ofaveolata019396","Ssiderea055950",1.36207848663413,-2.72226192113906,NA,"-",NA,"","Inverse",2.72226192113906,1.36207848663413,1.36018343450493,0.0018955623708761,0.0434431705643267,22.9183545905946,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.37","CH_CC","OG0011451","Ofaveolata001473","Ssiderea043685",2.36952997800019,-3.3059596234736,"acid phosphatase activity","acid phosphatase activity","Carbohydrate transport and metabolism","Carbohydrate transport and metabolism","Inverse",3.3059596234736,2.36952997800019,0.93642964547341,0.000494356645379448,0.00427041441078064,8.63832710795837,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.38","CH_CC","OG0011480","Ofaveolata013651","Ssiderea000160",2.91178124866334,-1.01360447741329,"Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Part of the complex F(0) domain and the peripheric stalk, which acts as a stator to hold the catalytic alpha(3)beta(3) subcomplex and subunit a ATP6 static relative to the rotary elements","Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Part of the complex F(0) domain and the peripheric stalk, which acts as a stator to hold the catalytic alpha(3)beta(3) subcomplex and subunit a ATP6 static relative to the rotary elements","Energy production and conversion","Energy production and conversion","Inverse",1.01360447741329,2.91178124866334,1.89817677125005,0.0969160092218576,0.00122523318593956,79.1000524096465,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.39","CH_CC","OG0011930","Ofaveolata000340","Ssiderea022091",1.16336220326342,-4.07456841531391,"UPF0704 protein C6orf165 homolog","UPF0704 protein C6orf165 homolog",NA,"Function Unknown","Inverse",4.07456841531391,1.16336220326342,2.91120621205049,8.42231702473724e-05,0.0686495661183434,815.091214409435,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.40","CH_CC","OG0012576","Ofaveolata001171","Ssiderea029404",-1.4736447231373,1.91965738233445,"plasma membrane repair","plasma membrane repair","Cell wall/membrane/envelope biogenesis","Cell wall/membrane/envelope biogenesis","Inverse",1.91965738233445,1.4736447231373,0.44601265919715,0.0120321328286635,0.0336012378517637,2.79262524194525,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.41","CH_CC","OG0012707","Ofaveolata019237","Ssiderea056578",1.10574849877413,-1.31690789357548,"Homeodomain","Homeodomain","Transcription","Transcription","Inverse",1.31690789357548,1.10574849877413,0.21115939480135,0.0482050021341657,0.0783883460592855,1.62614547430394,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.42","CH_CC","OG0012815","Ofaveolata024193","Ssiderea005674",1.08325450021508,-1.08398613462075,"RAB10, member RAS oncogene family","RAB10, member RAS oncogene family","Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport","Inverse",1.08398613462075,1.08325450021508,0.000731634405670034,0.0824164427044141,0.0825554026204275,1.00168607029682,"Inverse","Inverse",NA,NA,NA,NA,NA,"Bleaching"
"Bleaching.43","CH_CC","OG0001471","Ofaveolata001616","Ssiderea026735",-1.00187742927649,-6.87880048590158,"DOMON domain-containing protein","Ferric-chelate reductase","Intracellular trafficking, secretion, and vesicular transport","Signal transduction mechanisms","Direct",6.87880048590158,1.00187742927649,5.87692305662509,1.32190277445677e-07,0.0995686389792953,753222.104554648,"DirectDiscordant","Direct (discordant significance)","Ofav >> Ssid",2,2,1.3,100,"Bleaching"
"Bleaching.44","CH_CC","OG0001711","Ofaveolata009170","Ssiderea035562",-3.63645609843585,-1.21010801682483,"glutamate-cysteine ligase activity","glutamate-cysteine ligase activity","Coenzyme transport and metabolism","Coenzyme transport and metabolism","Direct",1.21010801682483,3.63645609843585,2.42634808161102,0.0616441662698463,0.000230963792168896,266.899697528208,"DirectDiscordant","Direct (discordant significance)","Ssid >> Ofav",2,2,1.3,100,"Bleaching"
"Bleaching.45","CH_CC","OG0003165","Ofaveolata030220","Ssiderea027372",1.09785628451657,6.44092241530099,"thioesterase binding","Tnf receptor-associated factor 2","Signal transduction mechanisms","Posttranslational modification, protein turnover, chaperones","Direct",6.44092241530099,1.09785628451657,5.34306613078442,3.62307717232369e-07,0.0798258801076947,220326.193208018,"DirectDiscordant","Direct (discordant significance)","Ofav >> Ssid",2,2,1.3,100,"Bleaching"
"Bleaching.46","CH_CC","OG0003759","Ofaveolata019842","Ssiderea012242",1.16486415739131,3.30818795448238,"cytoskeletal anchoring at plasma membrane","cytoskeletal anchoring at plasma membrane","Extracellular structures","Extracellular structures","Direct",3.30818795448238,1.16486415739131,2.14332379709107,0.000491826636298768,0.068412560089448,139.098932510621,"DirectDiscordant","Direct (discordant significance)","Ofav >> Ssid",2,2,1.3,100,"Bleaching"
"Bleaching.47","CH_CC","OG0004739","Ofaveolata028816","Ssiderea014506",-1.0852379690072,-3.62872172044744,"calcium ion binding","calcium ion binding",NA,"Function Unknown","Direct",3.62872172044744,1.0852379690072,2.54348375144024,0.000235113885954976,0.0821792230525662,349.529432167623,"DirectDiscordant","Direct (discordant significance)","Ofav >> Ssid",2,2,1.3,100,"Bleaching"
"Bleaching.48","CH_CC","OG0005204","Ofaveolata017010","Ssiderea039255",4.66305353079932,1.25594288309782,"adenylate cyclase-activating G-protein coupled receptor signaling pathway","Belongs to the G-protein coupled receptor 2 family","Signal transduction mechanisms","Signal transduction mechanisms","Direct",1.25594288309782,4.66305353079932,3.4071106477015,0.055469866020253,2.17243338991406e-05,2553.351751901,"DirectDiscordant","Direct (discordant significance)","Ssid >> Ofav",2,2,1.3,100,"Bleaching"
"Bleaching.49","CH_CC","OG0005731","Ofaveolata026274","Ssiderea039599",-4.40298858586783,-1.118499701443,"nuclear protein 1","nuclear protein 1",NA,"Function Unknown","Direct",1.118499701443,4.40298858586783,3.28448888442483,0.0761202662296514,3.95377011234371e-05,1925.25776832607,"DirectDiscordant","Direct (discordant significance)","Ssid >> Ofav",2,2,1.3,100,"Bleaching"
"Bleaching.50","CH_CC","OG0007327","Ofaveolata010456","Ssiderea019516",-1.00051384178161,-7.71431466284941,"Belongs to the aldehyde dehydrogenase family","Belongs to the aldehyde dehydrogenase family","Energy production and conversion","Energy production and conversion","Direct",7.71431466284941,1.00051384178161,6.7138008210678,1.93056903955883e-08,0.0998817535236571,5173694.98199774,"DirectDiscordant","Direct (discordant significance)","Ofav >> Ssid",2,2,1.3,100,"Bleaching"
"Bleaching.51","CH_CC","OG0008455","Ofaveolata005305","Ssiderea015846",-1.27737855925472,-7.56334153896773,"zinc ion binding","zinc ion binding","Cell cycle control, cell division, chromosome partitioning","Cell cycle control, cell division, chromosome partitioning","Direct",7.56334153896773,1.27737855925472,6.28596297971301,2.73311849494497e-08,0.0527984825297314,1931803.63849517,"DirectDiscordant","Direct (discordant significance)","Ofav >> Ssid",2,2,1.3,100,"Bleaching"
"Bleaching.52","CH_CC","OG0008952","Ofaveolata022997","Ssiderea014838",16.3447385585365,1.01980357168737,"regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway","regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway",NA,"Function Unknown","Direct",1.01980357168737,16.3447385585365,15.3249349868491,0.0955424620087554,4.52128039575825e-17,2113172677774881,"DirectDiscordant","Direct (discordant significance)","Ssid >> Ofav",2,2,1.3,100,"Bleaching"
"Bleaching.53","CH_CC","OG0010041","Ofaveolata003777","Ssiderea028755",-1.07345580005668,-3.50086451644313,"Cytosolic acyl coenzyme A thioester","Cytosolic acyl coenzyme A thioester","Lipid transport and metabolism","Lipid transport and metabolism","Direct",3.50086451644313,1.07345580005668,2.42740871638645,0.000315598901978634,0.0844392174815542,267.552317045991,"DirectDiscordant","Direct (discordant significance)","Ofav >> Ssid",2,2,1.3,100,"Bleaching"
