Orthogroup	Ofaveolata_out_PRO	Ssiderea_out_PRO
OG0000038	Ofaveolata008778, Ofaveolata010820, Ofaveolata010838, Ofaveolata010829, Ofaveolata010849, Ofaveolata010834, Ofaveolata010851, Ofaveolata006827, Ofaveolata006842, Ofaveolata006853, Ofaveolata006859, Ofaveolata006852, Ofaveolata006858, Ofaveolata006851, Ofaveolata006841, Ofaveolata006826, Ofaveolata006844, Ofaveolata007052, Ofaveolata007042, Ofaveolata007048, Ofaveolata007772	Ssiderea052575
OG0000039	Ofaveolata034955	Ssiderea005523, Ssiderea005509, Ssiderea018050, Ssiderea005529, Ssiderea005561, Ssiderea005521, Ssiderea005522, Ssiderea005550, Ssiderea005537, Ssiderea005543, Ssiderea005541, Ssiderea005570, Ssiderea62386, Ssiderea005511, Ssiderea005525, Ssiderea005562, Ssiderea005520, Ssiderea005567, Ssiderea005530, Ssiderea005538, Ssiderea005544
OG0000040	Ofaveolata016307	Ssiderea027293, Ssiderea038038
OG0000040	Ofaveolata035720, Ofaveolata035740	Ssiderea016591, Ssiderea027292, Ssiderea038037, Ssiderea054021, Ssiderea052558, Ssiderea024158, Ssiderea049932, Ssiderea024154, Ssiderea024157, Ssiderea62451, Ssiderea036007, Ssiderea055408, Ssiderea032421, Ssiderea055444, Ssiderea055416, Ssiderea055409, Ssiderea055412
OG0000043	Ofaveolata035092	Ssiderea031930, Ssiderea031933
OG0000043	Ofaveolata035500	Ssiderea031929, Ssiderea028960, Ssiderea040251, Ssiderea031813, Ssiderea031766, Ssiderea031816, Ssiderea031812, Ssiderea031810, Ssiderea031785, Ssiderea031796, Ssiderea031799, Ssiderea031800, Ssiderea031704, Ssiderea031803, Ssiderea031778, Ssiderea031802, Ssiderea016188
OG0000044	Ofaveolata012401, Ofaveolata004049	Ssiderea60813, Ssiderea010829, Ssiderea030990, Ssiderea021737, Ssiderea040323, Ssiderea040348, Ssiderea040346, Ssiderea016432, Ssiderea033320, Ssiderea038067, Ssiderea043295, Ssiderea040950, Ssiderea028757, Ssiderea054895, Ssiderea049929, Ssiderea045780, Ssiderea030836, Ssiderea045779, Ssiderea042991
OG0000048	Ofaveolata035056, Ofaveolata035057	Ssiderea61765
OG0000048	Ofaveolata036032, Ofaveolata035496, Ofaveolata034927	Ssiderea016192, Ssiderea59354
OG0000048	Ofaveolata036489	Ssiderea62372
OG0000048	Ofaveolata034899, Ofaveolata034790	Ssiderea62872
OG0000050	Ofaveolata027685, Ofaveolata017919, Ofaveolata019207, Ofaveolata018004, Ofaveolata027687, Ofaveolata027684, Ofaveolata027686, Ofaveolata019201, Ofaveolata019198, Ofaveolata019199, Ofaveolata019214, Ofaveolata019212, Ofaveolata019205, Ofaveolata000305, Ofaveolata017920, Ofaveolata019215, Ofaveolata019213, Ofaveolata019206	Ssiderea007332, Ssiderea007335
OG0000051	Ofaveolata030029	Ssiderea035796, Ssiderea035811, Ssiderea035814, Ssiderea035815, Ssiderea035816, Ssiderea035809, Ssiderea035810, Ssiderea035801, Ssiderea61751, Ssiderea035812, Ssiderea032765, Ssiderea032781, Ssiderea032770, Ssiderea032779, Ssiderea032771, Ssiderea032768, Ssiderea032761, Ssiderea032764, Ssiderea032767
OG0000052	Ofaveolata015463	Ssiderea039064
OG0000052	Ofaveolata026632	Ssiderea017677, Ssiderea017665, Ssiderea052206
OG0000052	Ofaveolata036327	Ssiderea017678
OG0000057	Ofaveolata031565	Ssiderea040403
OG0000057	Ofaveolata011130	Ssiderea040415
OG0000057	Ofaveolata031549, Ofaveolata031566, Ofaveolata031541, Ofaveolata027258, Ofaveolata027255, Ofaveolata031550, Ofaveolata031554	Ssiderea007606, Ssiderea040406
OG0000058	Ofaveolata035678, Ofaveolata035549, Ofaveolata035546, Ofaveolata035547, Ofaveolata035548, Ofaveolata035621, Ofaveolata035713, Ofaveolata035732, Ofaveolata035249, Ofaveolata035316, Ofaveolata035394, Ofaveolata034706, Ofaveolata036518, Ofaveolata035385, Ofaveolata035816, Ofaveolata035723	Ssiderea027990, Ssiderea027995, Ssiderea032394
OG0000059	Ofaveolata000472, Ofaveolata010948, Ofaveolata010950, Ofaveolata011412, Ofaveolata011365, Ofaveolata011371, Ofaveolata011372, Ofaveolata011367, Ofaveolata011369, Ofaveolata011362, Ofaveolata011341, Ofaveolata011326, Ofaveolata011354, Ofaveolata011339, Ofaveolata011318, Ofaveolata011321	Ssiderea044452, Ssiderea039116, Ssiderea019306
OG0000060	Ofaveolata004651, Ofaveolata004652	Ssiderea018713, Ssiderea018705, Ssiderea018675, Ssiderea018676, Ssiderea018694, Ssiderea018687, Ssiderea018693, Ssiderea018753, Ssiderea018752, Ssiderea018750, Ssiderea018749, Ssiderea018782, Ssiderea018742, Ssiderea029270, Ssiderea029269, Ssiderea029268, Ssiderea002773
OG0000061	Ofaveolata033763	Ssiderea053728
OG0000061	Ofaveolata029285, Ofaveolata029365, Ofaveolata029363, Ofaveolata015089, Ofaveolata022961, Ofaveolata026389, Ofaveolata033765, Ofaveolata013145, Ofaveolata036114, Ofaveolata013144, Ofaveolata013138, Ofaveolata013143, Ofaveolata013130, Ofaveolata013133	Ssiderea000778, Ssiderea000777, Ssiderea000774
OG0000063	Ofaveolata022179, Ofaveolata014338, Ofaveolata014563, Ofaveolata023936, Ofaveolata023935, Ofaveolata014553, Ofaveolata036171, Ofaveolata013919, Ofaveolata013927, Ofaveolata013930, Ofaveolata013949, Ofaveolata036186, Ofaveolata013921, Ofaveolata013929, Ofaveolata013928, Ofaveolata018700, Ofaveolata013924, Ofaveolata015532	Ssiderea60737
OG0000064	Ofaveolata018719	Ssiderea018950, Ssiderea018947, Ssiderea008496, Ssiderea054364, Ssiderea054365, Ssiderea054331, Ssiderea013876, Ssiderea013869, Ssiderea054368, Ssiderea014102, Ssiderea014100, Ssiderea014095, Ssiderea014096, Ssiderea014159, Ssiderea014157, Ssiderea014106, Ssiderea013865, Ssiderea054366
OG0000071	Ofaveolata016424	Ssiderea039646
OG0000071	Ofaveolata002460, Ofaveolata002457, Ofaveolata033542, Ofaveolata003760, Ofaveolata034425, Ofaveolata002942, Ofaveolata017767, Ofaveolata017764, Ofaveolata007554, Ofaveolata014220, Ofaveolata014225, Ofaveolata014242, Ofaveolata014207, Ofaveolata014238, Ofaveolata014215	Ssiderea024987
OG0000072	Ofaveolata006063, Ofaveolata006082	Ssiderea058509
OG0000072	Ofaveolata006079, Ofaveolata006073, Ofaveolata006070, Ofaveolata006080, Ofaveolata006076, Ofaveolata006077, Ofaveolata006071, Ofaveolata006081	Ssiderea047941
OG0000072	Ofaveolata006064, Ofaveolata006069, Ofaveolata006068, Ofaveolata006067	Ssiderea055423, Ssiderea055425
OG0000073	Ofaveolata036123	Ssiderea61658, Ssiderea60317, Ssiderea60812, Ssiderea62905, Ssiderea59670, Ssiderea62504, Ssiderea61869, Ssiderea59313, Ssiderea62814, Ssiderea60458, Ssiderea031105, Ssiderea60709, Ssiderea60195, Ssiderea60727, Ssiderea60202, Ssiderea61726, Ssiderea62065
OG0000074	Ofaveolata019846, Ofaveolata019850, Ofaveolata013461	Ssiderea050956, Ssiderea044374, Ssiderea023464, Ssiderea044396, Ssiderea044359, Ssiderea044398, Ssiderea044368, Ssiderea044360, Ssiderea044378, Ssiderea044385, Ssiderea044390, Ssiderea044388, Ssiderea044384, Ssiderea044392, Ssiderea044393
OG0000075	Ofaveolata000528	Ssiderea025638, Ssiderea025634, Ssiderea018501, Ssiderea025636, Ssiderea025629, Ssiderea025626, Ssiderea025649, Ssiderea025621, Ssiderea025622, Ssiderea025633, Ssiderea025627, Ssiderea025640, Ssiderea025635, Ssiderea025637, Ssiderea025646, Ssiderea025623, Ssiderea025625
OG0000081	Ofaveolata027931, Ofaveolata027932, Ofaveolata027907, Ofaveolata027915, Ofaveolata027918, Ofaveolata027905, Ofaveolata027911, Ofaveolata027909, Ofaveolata008472, Ofaveolata008467, Ofaveolata027908, Ofaveolata027920, Ofaveolata027903, Ofaveolata027921, Ofaveolata027913, Ofaveolata027922	Ssiderea61068
OG0000082	Ofaveolata000944	Ssiderea021264
OG0000082	Ofaveolata000943	Ssiderea021235
OG0000082	Ofaveolata000941, Ofaveolata000942, Ofaveolata000889, Ofaveolata000946, Ofaveolata000933, Ofaveolata000938, Ofaveolata000936, Ofaveolata000931	Ssiderea022495, Ssiderea60231, Ssiderea022498
OG0000083	Ofaveolata032345, Ofaveolata009740, Ofaveolata009742, Ofaveolata032366, Ofaveolata031361, Ofaveolata031384, Ofaveolata031389, Ofaveolata034139, Ofaveolata009743, Ofaveolata031356, Ofaveolata031409, Ofaveolata031366, Ofaveolata031395, Ofaveolata031415, Ofaveolata031378, Ofaveolata031416	Ssiderea60719
OG0000084	Ofaveolata009258	Ssiderea051427, Ssiderea050494, Ssiderea004892, Ssiderea051778
OG0000084	Ofaveolata009260, Ofaveolata009266, Ofaveolata009269, Ofaveolata009270, Ofaveolata009263, Ofaveolata009262, Ofaveolata001192, Ofaveolata009259, Ofaveolata009267, Ofaveolata009261, Ofaveolata009274	Ssiderea035584
OG0000085	Ofaveolata033264, Ofaveolata033263, Ofaveolata033267, Ofaveolata033259, Ofaveolata033262, Ofaveolata019126, Ofaveolata019127, Ofaveolata019128, Ofaveolata019125, Ofaveolata032813, Ofaveolata006384, Ofaveolata032878, Ofaveolata032879, Ofaveolata021514, Ofaveolata021518, Ofaveolata021516	Ssiderea000859
OG0000086	Ofaveolata036034	Ssiderea62591
OG0000086	Ofaveolata035554	Ssiderea60828
OG0000086	Ofaveolata035275, Ofaveolata035097, Ofaveolata034772, Ofaveolata035838, Ofaveolata035223, Ofaveolata035835, Ofaveolata035697, Ofaveolata035677, Ofaveolata026528, Ofaveolata036549, Ofaveolata036340, Ofaveolata036556	Ssiderea59608
OG0000087	Ofaveolata016964	Ssiderea039380, Ssiderea039296, Ssiderea039302, Ssiderea039298, Ssiderea039301, Ssiderea039305, Ssiderea039299, Ssiderea039304, Ssiderea039297, Ssiderea039293, Ssiderea039378, Ssiderea039379, Ssiderea039291, Ssiderea039377, Ssiderea039295, Ssiderea039300
OG0000088	Ofaveolata031568, Ofaveolata031571, Ofaveolata031577, Ofaveolata035340, Ofaveolata031557, Ofaveolata031540, Ofaveolata031548, Ofaveolata011123, Ofaveolata031823, Ofaveolata031825, Ofaveolata031572, Ofaveolata031573, Ofaveolata031528, Ofaveolata031563, Ofaveolata031814, Ofaveolata031613	Ssiderea040418
OG0000089	Ofaveolata036471, Ofaveolata036475	Ssiderea046517, Ssiderea046519, Ssiderea046522, Ssiderea046306, Ssiderea046304, Ssiderea046520, Ssiderea046516, Ssiderea046515, Ssiderea046518, Ssiderea046513, Ssiderea046511, Ssiderea030095, Ssiderea030093, Ssiderea030090, Ssiderea030097
OG0000090	Ofaveolata027961	Ssiderea050838, Ssiderea037640, Ssiderea037638, Ssiderea050839, Ssiderea018375, Ssiderea037760, Ssiderea037770, Ssiderea037774, Ssiderea037778, Ssiderea037772, Ssiderea037771, Ssiderea037777, Ssiderea037767, Ssiderea037773, Ssiderea037766, Ssiderea037776
OG0000091	Ofaveolata024429	Ssiderea006271, Ssiderea006267, Ssiderea006259, Ssiderea006262, Ssiderea006223, Ssiderea006232, Ssiderea006255, Ssiderea006268, Ssiderea006254, Ssiderea006263, Ssiderea006238, Ssiderea006270, Ssiderea006231, Ssiderea006260, Ssiderea006250, Ssiderea006236
OG0000097	Ofaveolata011194, Ofaveolata010991, Ofaveolata011008, Ofaveolata011237, Ofaveolata010979, Ofaveolata011002, Ofaveolata010983, Ofaveolata010989, Ofaveolata010985, Ofaveolata010977, Ofaveolata010975, Ofaveolata010968, Ofaveolata011003, Ofaveolata010994, Ofaveolata011004	Ssiderea051606
OG0000099	Ofaveolata009334, Ofaveolata031307, Ofaveolata032402, Ofaveolata017994, Ofaveolata015457, Ofaveolata030910, Ofaveolata030912, Ofaveolata034517, Ofaveolata011807, Ofaveolata033392, Ofaveolata032204, Ofaveolata020886	Ssiderea023848, Ssiderea006871, Ssiderea035547, Ssiderea038618
OG0000100	Ofaveolata018669	Ssiderea048317, Ssiderea048282, Ssiderea040118, Ssiderea048152, Ssiderea019240, Ssiderea051886, Ssiderea008914, Ssiderea61933, Ssiderea054758, Ssiderea055039, Ssiderea61555, Ssiderea61525, Ssiderea010023, Ssiderea052030, Ssiderea052033
OG0000101	Ofaveolata008810	Ssiderea008147, Ssiderea008016, Ssiderea008003, Ssiderea008058, Ssiderea008132, Ssiderea008213, Ssiderea007967, Ssiderea008121, Ssiderea008062, Ssiderea008013, Ssiderea008055, Ssiderea008015, Ssiderea007980, Ssiderea007993, Ssiderea008129
OG0000108	Ofaveolata027981, Ofaveolata025197, Ofaveolata025194, Ofaveolata025196, Ofaveolata025209, Ofaveolata025214, Ofaveolata025204, Ofaveolata025203, Ofaveolata025210, Ofaveolata025909, Ofaveolata025205, Ofaveolata025202, Ofaveolata025212	Ssiderea021677, Ssiderea021679
OG0000109	Ofaveolata011310, Ofaveolata011311, Ofaveolata011312	Ssiderea051365
OG0000109	Ofaveolata011307, Ofaveolata011308, Ofaveolata016768, Ofaveolata036322, Ofaveolata016767, Ofaveolata011565, Ofaveolata020747, Ofaveolata011549, Ofaveolata011562, Ofaveolata014304	Ssiderea019625
OG0000110	Ofaveolata017392, Ofaveolata017395, Ofaveolata017402, Ofaveolata017415, Ofaveolata017792, Ofaveolata017425, Ofaveolata017410, Ofaveolata027898, Ofaveolata027899, Ofaveolata017419, Ofaveolata017424, Ofaveolata017416, Ofaveolata005168, Ofaveolata017391	Ssiderea045773
OG0000111	Ofaveolata000787	Ssiderea050435, Ssiderea050444, Ssiderea050443, Ssiderea050434, Ssiderea050440, Ssiderea050450, Ssiderea050442, Ssiderea050452, Ssiderea045014, Ssiderea045013, Ssiderea050445, Ssiderea050448, Ssiderea045012, Ssiderea050446
OG0000112	Ofaveolata021467	Ssiderea047901
OG0000112	Ofaveolata002200, Ofaveolata034818, Ofaveolata017099, Ofaveolata036158, Ofaveolata035655, Ofaveolata034820, Ofaveolata035400, Ofaveolata021466, Ofaveolata032386, Ofaveolata036541, Ofaveolata036542, Ofaveolata036543	Ssiderea62455
OG0000113	Ofaveolata022975	Ssiderea027967
OG0000113	Ofaveolata031490, Ofaveolata031497, Ofaveolata031486, Ofaveolata031499, Ofaveolata034057, Ofaveolata034062, Ofaveolata034060, Ofaveolata034061, Ofaveolata034064, Ofaveolata022979, Ofaveolata022980, Ofaveolata022978	Ssiderea014854
OG0000115	Ofaveolata034868, Ofaveolata003022, Ofaveolata003023	Ssiderea030386, Ssiderea007330, Ssiderea033827, Ssiderea033830, Ssiderea024597, Ssiderea024595, Ssiderea012413, Ssiderea055901, Ssiderea042376, Ssiderea036721, Ssiderea036722, Ssiderea036716
OG0000116	Ofaveolata035999	Ssiderea60672, Ssiderea60296, Ssiderea60702, Ssiderea62311, Ssiderea62608, Ssiderea61699, Ssiderea59663, Ssiderea59714, Ssiderea60327, Ssiderea59798, Ssiderea59997, Ssiderea61719, Ssiderea61930, Ssiderea61959
OG0000117	Ofaveolata019788	Ssiderea049559, Ssiderea012017, Ssiderea012006, Ssiderea012023, Ssiderea012041, Ssiderea012024, Ssiderea012036, Ssiderea012033, Ssiderea012012, Ssiderea012027, Ssiderea012038, Ssiderea012030, Ssiderea012015, Ssiderea012007
OG0000123	Ofaveolata013304	Ssiderea045296
